,代码,中文名,ETF代码,PE,PE_TTM,PB_LF,VAL_PB_PERCENTILE,VAL_PE_PERCENTILE,PS,ROE_TTM,OPEN,CLOSE,HIGH,LOW,PCT_CHG,VOLUME,PE_TTM_CUR_PCT,PE_TTM_GLOBAL_PCT,PB_LF_CUR_PCT,PB_LF_GLOBAL_PCT
0,399989.SZ,中证医疗,159828.SZ,70.69,55.76,13.45,98.58,29.06,18.08,23.57,19449.56,19769.21,19992.00,19414.78,1.78,482126200.00,29.06,29.06,98.58,98.58
1,399998.SZ,中证煤炭,515220.SH,11.63,10.24,1.16,46.74,36.49,0.99,11.16,1652.26,1621.36,1664.23,1619.90,-2.26,868242900.00,36.49,36.49,46.74,46.74
2,000993.SH,全指信息,159939.SZ,67.79,58.80,4.91,81.94,60.98,3.62,7.67,7323.85,7174.34,7323.85,7170.43,-1.87,9219914600.00,60.98,60.98,81.94,81.94
3,HSI.HI,恒生指数,159920.SZ,14.15,13.53,1.29,nan,nan,1.99,nan,nan,28827.95,nan,nan,nan,nan,75.69,75.69,58.17,58.17
4,399971.CSI,中证传媒(CSI),512980.SH,38.65,34.25,2.58,10.78,22.98,3.26,7.53,1253.60,1243.79,1256.26,1242.38,-0.74,853536342.00,22.98,22.98,10.81,10.81
5,399975.SZ,证券公司,512880.SH,22.41,21.01,1.74,36.21,25.87,6.50,8.12,842.43,832.15,844.68,828.94,-1.11,2196075800.00,25.87,25.87,36.21,36.21
6,H30184.CSI,中证全指半导体,512480.SH,95.14,79.65,8.07,94.39,52.71,8.52,10.71,6908.08,6986.25,7028.51,6901.51,1.09,698095262.00,56.42,56.42,94.39,94.39
7,399967.SZ,中证军工,512660.SH,63.57,65.58,3.64,59.48,37.93,4.41,5.61,11631.46,11618.10,11783.26,11513.94,0.69,824580500.00,37.93,37.93,59.48,59.48
8,931079.CSI,5G通信,515050.SH,37.15,33.42,4.30,41.75,7.18,2.12,12.96,958.89,962.60,965.49,953.72,0.31,990831524.00,7.18,7.18,41.75,41.75
9,930997.CSI,新能源车,515700.SH,139.96,111.44,7.93,95.98,80.66,6.49,7.49,3018.79,3009.81,3036.35,2988.01,-0.12,1063142533.00,80.66,80.66,95.98,95.98
10,399986.SZ,中证银行,512800.SH,6.62,6.53,0.74,9.84,59.38,2.09,10.07,7268.68,7256.43,7301.45,7245.33,-0.37,1722381600.00,59.38,59.38,9.87,9.87
11,000016.SH,上证50,510050.SH,13.49,12.31,1.45,41.59,54.85,1.33,11.02,3575.49,3587.53,3599.62,3572.36,0.20,2729685900.00,54.85,54.85,41.61,41.61
12,000300.SH,沪深300,510300.SH,15.48,14.38,1.68,47.20,59.43,1.59,10.87,5224.95,5236.45,5253.36,5215.35,0.08,12182032100.00,59.43,59.43,47.21,47.21
13,000905.SH,中证500,510500.SH,29.78,25.39,2.13,23.50,14.62,1.33,8.24,6677.14,6692.90,6712.25,6656.05,0.12,13651103400.00,14.62,14.62,23.50,23.50
14,000688.SH,科创50,588000.SH,84.27,75.05,6.78,34.74,30.99,10.10,8.48,1420.31,1427.32,1442.16,1417.77,0.58,826421800.00,30.99,30.99,34.74,34.74
