,代码,中文名,ETF代码,PE,PE_TTM,PB_LF,VAL_PB_PERCENTILE,VAL_PE_PERCENTILE,PS,ROE_TTM,OPEN,CLOSE,HIGH,LOW,PCT_CHG,VOLUME,PE_TTM_CUR_PCT,PE_TTM_GLOBAL_PCT,PB_LF_CUR_PCT,PB_LF_GLOBAL_PCT
0,399989.SZ,中证医疗,159828.SZ,60.04,47.45,11.72,14.29,14.29,15.35,23.57,17050.35,16763.81,17050.35,16433.56,-2.56,686144400.00,15.87,15.87,93.37,93.37
1,399998.SZ,中证煤炭,515220.SH,11.55,10.11,1.22,42.86,42.86,0.99,11.16,1697.72,1708.47,1732.61,1675.46,2.00,1772622000.00,35.69,35.69,52.54,52.54
2,000993.SH,全指信息,159939.SZ,70.93,60.99,5.16,92.86,71.43,3.78,7.67,7381.49,7459.94,7487.49,7339.97,0.56,11124915600.00,64.32,64.32,87.37,87.37
3,HSI.HI,恒生指数,159920.SZ,12.53,11.97,1.14,14.29,14.29,1.76,nan,26042.84,25961.03,26151.00,25636.89,-1.35,0.00,66.28,66.28,48.81,48.81
4,399971.CSI,中证传媒(CSI),512980.SH,33.03,29.16,2.23,14.29,14.29,2.79,7.53,1076.23,1073.72,1077.29,1064.43,-0.50,824482254.00,10.62,10.62,0.11,0.11
5,399975.SZ,证券公司,512880.SH,21.09,19.00,1.66,0.00,0.00,6.13,8.12,778.04,765.91,778.04,764.72,-2.26,2141151700.00,17.49,17.49,24.94,24.94
6,H30184.CSI,中证全指半导体,512480.SH,146.68,120.83,12.61,100.00,100.00,15.13,10.71,9380.05,9611.31,9717.26,9361.85,1.78,1632421824.00,95.26,95.26,100.00,100.00
7,399967.SZ,中证军工,512660.SH,68.30,69.76,3.92,57.14,57.14,4.87,5.61,12195.64,12221.05,12294.89,12025.84,0.00,1123287900.00,48.49,48.49,67.14,67.14
8,931079.CSI,5G通信,515050.SH,40.84,37.25,4.85,100.00,100.00,2.41,12.96,1043.30,1064.12,1069.29,1041.17,1.06,1983861627.00,24.68,24.68,51.36,51.36
9,930997.CSI,新能源车,515700.SH,198.51,154.71,10.67,50.00,50.00,9.19,7.49,3937.75,3904.61,4003.78,3851.27,-0.54,1607835273.00,95.32,95.32,99.29,99.29
10,399986.SZ,中证银行,512800.SH,5.69,5.61,0.65,0.00,0.00,1.80,10.07,6128.49,6055.71,6128.49,6026.23,-1.50,1731602800.00,17.90,17.90,0.00,0.00
11,000016.SH,上证50,510050.SH,12.22,11.07,1.36,0.00,0.00,1.28,11.02,3160.47,3132.82,3160.47,3114.51,-1.57,3238885100.00,44.53,44.53,36.57,36.57
12,000300.SH,沪深300,510300.SH,14.64,13.52,1.63,14.29,14.29,1.53,10.87,4825.70,4811.17,4825.70,4761.04,-0.81,18234977600.00,47.90,47.90,40.28,40.28
13,000905.SH,中证500,510500.SH,24.95,21.63,2.00,21.43,21.43,1.25,8.24,6739.75,6767.32,6775.01,6702.51,0.12,18971173400.00,5.60,5.60,16.14,16.14
14,000688.SH,科创50,588000.SH,90.54,79.93,7.93,100.00,100.00,11.84,8.48,1582.58,1591.22,1608.96,1570.45,0.17,1528093000.00,71.89,71.89,89.16,89.16
